,AOEGJLWFISOZQ,AU2980AA60A2C,AJALV8WOILDPA
285519,-100.0,-89.0,-53.0
285531,-100.0,-89.0,-53.0
285536,-100.0,-89.0,-53.5
285548,-100.0,-89.0,-54.0
285553,-100.0,-89.0,-54.5
285565,-100.0,-89.0,-55.0
285569,-100.0,-89.0,-55.5
285581,-100.0,-89.0,-56.0
285586,-100.0,-89.0,-56.5
285598,-100.0,-89.0,-57.0
285603,-100.0,-89.0,-57.5
285615,-100.0,-89.0,-58.0
285619,-100.0,-89.0,-58.5
285631,-100.0,-89.0,-59.0
285636,-100.0,-88.5,-59.333333333333336
285647,-100.0,-88.0,-59.666666666666664
285648,-100.0,-88.0,-60.0
285652,-100.0,-88.0,-60.5
285665,-100.0,-88.0,-61.0
285669,-100.0,-88.0,-61.5
285681,-100.0,-88.0,-62.0
285686,-100.0,-88.0,-62.0
